zipcode	state	city	city_soundex	lat	lon	valid	searched
35150	AL	SYLACAUGA	S420	86.2713	33.1717	1	1
35160	AL	TALLADEGA	T432	86.1133	33.4354	1	1
35171	AL	THORSBY	T621	86.7467	32.9238	1	1
35172	AL	TRAFFORD	T6163	86.7434	33.819	1	1
35173	AL	TRUSSVILLE	T6214	86.5981	33.6339	1	1
35175	AL	UNION GROVE	U5261	86.4628	34.4093	1	1
35176	AL	VANDIVER	V5316	86.5013	33.4807	1	1
35178	AL	VINCENT	V5253	86.3994	33.4011	1	1
35179	AL	VINEMONT	V530	86.9125	34.2621	1	1
35180	AL	WARRIOR	W600	86.8198	33.8529	1	1
35183	AL	WEOGUFKA	W212	86.3042	33.0238	1	1
35184	AL	WEST BLOCTON	W2314235	87.1369	33.1424	1	1
35186	AL	WILSONVILLE	W42514	86.5299	33.2293	1	1
35188	AL	WOODSTOCK	W3232	87.1635	33.1698	1	1
35203	AL	BIRMINGHAM	B6525	86.8066	33.521	1	1
35204	AL	BIRMINGHAM	B6525	86.8372	33.5179	1	1
35205	AL	BIRMINGHAM	B6525	86.8059	33.4951	1	1
35206	AL	BIRMINGHAM	B6525	86.7199	33.5678	1	1
35207	AL	BIRMINGHAM	B6525	86.8153	33.5594	1	1
35208	AL	BIRMINGHAM	B6525	86.8799	33.4977	1	1
35209	AL	HOMEWOOD	H530	86.8067	33.4696	1	1
35210	AL	IRONDALE	I6534	86.6857	33.5328	1	1
35211	AL	BIRMINGHAM	B6525	86.859	33.4816	1	1
35212	AL	BIRMINGHAM	B6525	86.7495	33.5409	1	1
35213	AL	CRESTLINE HEIGHT	C6234523	86.7421	33.5082	1	1
35214	AL	BIRMINGHAM	B6525	86.887	33.5554	1	1
35215	AL	CENTER POINT	C536153	86.6932	33.6354	1	1
35216	AL	VESTAVIA HILLS	V23142	86.7904	33.4153	1	1
35217	AL	BIRMINGHAM	B6525	86.765	33.5887	1	1
35218	AL	BIRMINGHAM	B6525	86.893	33.506	1	1
35221	AL	BIRMINGHAM	B6525	86.8935	33.4523	1	1
35222	AL	BIRMINGHAM	B6525	86.7666	33.5219	1	1
35223	AL	MOUNTAIN BROOK	M35162	86.7366	33.4887	1	1
35224	AL	BIRMINGHAM	B6525	86.9342	33.5191	1	1
35226	AL	BLUFF PARK	B4162	86.8313	33.4037	1	1
35228	AL	MIDFIELD	M3143	86.9147	33.4624	1	1
35233	AL	BIRMINGHAM	B6525	86.8003	33.5062	1	1
35234	AL	BIRMINGHAM	B6525	86.8068	33.5378	1	1
35235	AL	CENTER POINT	C536153	86.661	33.618	1	1
35242	AL	SHOAL CREEK	S4262	86.7055	33.4016	1	1
35243	AL	CAHABA HEIGHTS	C1232	86.7437	33.4461	1	1
35244	AL	HOOVER	H160	86.7764	33.3718	1	1
35401	AL	TUSCALOOSA	T242	87.5627	33.1969	1	1
35404	AL	HOLT	H430	87.4881	33.2109	1	1
35405	AL	TUSCALOOSA	T242	87.5144	33.1617	1	1
35406	AL	TUSCALOOSA	T242	87.536	33.2722	1	1
35441	AL	STEWART	S363	87.7086	32.8724	1	1
35442	AL	ALICEVILLE	A4214	88.1667	33.1228	1	1
35443	AL	BOLIGEE	B420	88.0266	32.7746	1	1
35444	AL	BROOKWOOD	B623	87.309	33.2775	1	1
35446	AL	BUHL	B400	87.7189	33.2494	1	1
35447	AL	CARROLLTON	C6435	88.1321	33.2485	1	1
35452	AL	COKER	C600	87.6365	33.2526	1	1
35453	AL	COTTONDALE	C3534	87.3871	33.1767	1	1
35456	AL	DUNCANVILLE	D52514	87.495	33.0828	1	1
35457	AL	ECHOLA	E240	87.8072	33.3166	1	1
35458	AL	ELROD	E463	87.8014	33.3437	1	1
35459	AL	EMELLE	E540	88.3057	32.755	1	1
35460	AL	EPES	E120	88.1614	32.7634	1	1
35461	AL	ETHELSVILLE	E34214	88.222	33.3868	1	1
35462	AL	EUTAW	E300	87.9303	32.8889	1	1
35463	AL	FOSTERS	F2362	87.7357	33.1359	1	1
35464	AL	GAINESVILLE	G5214	88.2716	32.9084	1	1
35466	AL	GORDO	G630	87.9005	33.3469	1	1
35469	AL	KNOXVILLE	K5214	87.7919	32.9824	1	1
35470	AL	COATOPA	C310	88.1736	32.5885	1	1
35474	AL	CYPRESS	C162	87.6151	32.9789	1	1
35476	AL	NORTHPORT	N63163	87.5914	33.2834	1	1
35480	AL	RALPH	R410	87.745	33.0629	1	1
35481	AL	REFORM	R165	88.0203	33.3959	1	1
35490	AL	VANCE	V520	87.2574	33.175	1	1
35501	AL	JASPER	J160	87.2491	33.8717	1	1
35540	AL	ADDISON	A325	87.1948	34.2056	1	1
35541	AL	ARLEY	A640	87.1828	34.0632	1	1
35542	AL	BANKSTON	B5235	87.6897	33.7008	1	1
35543	AL	BEAR CREEK	B6262	87.6861	34.2135	1	1
35544	AL	BEAVERTON	B635	88.0157	33.9429	1	1
35546	AL	BERRY	B600	87.6226	33.6945	1	1
35548	AL	BRILLIANT	B6453	87.7563	34.0377	1	1
35549	AL	CARBON HILL	C6154	87.5403	33.9093	1	1
35550	AL	CORDOVA	C631	87.1841	33.768	1	1
35552	AL	DETROIT	D630	88.1606	34.0109	1	1
35553	AL	DOUBLE SPRINGS	D1421652	87.3974	34.1387	1	1
35554	AL	ELDRIDGE	E43632	87.6194	33.9315	1	1
35555	AL	FAYETTE	F300	87.8346	33.6974	1	1
35563	AL	GUIN	G500	87.9024	33.9676	1	1
35564	AL	HACKLEBURG	H24162	87.8608	34.2678	1	1
35565	AL	HALEYVILLE	H414	87.5938	34.2314	1	1
35570	AL	HAMILTON	H5435	88.0085	34.1534	1	1
35571	AL	HODGES	H320	87.959	34.3417	1	1
35572	AL	HOUSTON	H235	87.2618	34.118	1	1
35574	AL	KENNEDY	K530	88.0517	33.575	1	1
35575	AL	LYNN	L500	87.5398	34.053	1	1
35576	AL	MILLPORT	M4163	88.2	33.5401	1	1
35578	AL	NAUVOO	N100	87.4324	33.9299	1	1
35579	AL	OAKMAN	O250	87.3686	33.7002	1	1
35580	AL	PARRISH	P620	87.2658	33.7213	1	1
35581	AL	PHIL CAMPBELL	P42514	87.7154	34.347	1	1
35582	AL	RED BAY	R310	88.1129	34.4513	1	1
35585	AL	SPRUCE PINE	S16215	87.7122	34.3848	1	1
35586	AL	SULLIGENT	S4253	88.1508	33.8549	1	1
35587	AL	TOWNLEY	T540	87.4372	33.847	1	1
35592	AL	VERNON	V650	88.0979	33.7613	1	1
35593	AL	VINA	V500	88.0774	34.3712	1	1
35594	AL	WINFIELD	W5143	87.7972	33.9303	1	1
35601	AL	DECATUR	D236	86.9887	34.5896	1	1
35603	AL	DECATUR	D236	87.0004	34.5484	1	1
35610	AL	ANDERSON	A53625	87.2723	34.9518	1	1
35611	AL	ATHENS	A352	86.9707	34.8036	1	1
35616	AL	CHEROKEE	C620	87.9724	34.7442	1	1
35618	AL	COURTLAND	C63453	87.3143	34.6719	1	1
35619	AL	DANVILLE	D514	87.0532	34.4522	1	1
35620	AL	ELKMONT	E4253	86.9105	34.9152	1	1
35621	AL	EVA	E100	86.7044	34.3478	1	1
35622	AL	FALKVILLE	F4214	86.9131	34.3477	1	1
35630	AL	FLORENCE	F4652	87.656	34.8305	1	1
35633	AL	FLORENCE	F4652	87.7398	34.8825	1	1
35640	AL	HARTSELLE	H6324	86.9242	34.4482	1	1
35643	AL	HILLSBORO	H4216	87.1804	34.6476	1	1
35645	AL	KILLEN	K450	87.5082	34.9016	1	1
35646	AL	LEIGHTON	L235	87.5221	34.711	1	1
35647	AL	LESTER	L236	87.1434	34.9184	1	1
35648	AL	LEXINGTON	L25235	87.3935	34.9559	1	1
35650	AL	MOULTON	M435	87.2224	34.5058	1	1
35651	AL	MOUNT HOPE	M310	87.4515	34.463	1	1
35652	AL	ROGERSVILLE	R26214	87.3237	34.8495	1	1
35653	AL	RUSSELLVILLE	R2414	87.7257	34.5066	1	1
35660	AL	SHEFFIELD	S143	87.6971	34.7578	1	1
35661	AL	MUSCLE SHOALS	M24242	87.6304	34.7561	1	1
35670	AL	SOMERVILLE	S5614	86.8009	34.4995	1	1
35671	AL	TANNER	T560	86.9892	34.713	1	1
35672	AL	TOWN CREEK	T5262	87.4262	34.6491	1	1
35673	AL	TRINITY	T653	87.0913	34.5918	1	1
35674	AL	TUSCUMBIA	T251	87.6833	34.6874	1	1
35677	AL	WATERLOO	W364	87.9624	34.9357	1	1
35739	AL	ARDMORE	A6356	86.8346	34.9804	1	1
35740	AL	BRIDGEPORT	B632163	85.7277	34.9446	1	1
35741	AL	BROWNSBORO	B65216	86.4687	34.7167	1	1
35744	AL	DUTTON	D500	85.9067	34.6046	1	1
35745	AL	ESTILLFORK	E234162	86.1716	34.913	1	1
35746	AL	FACKLER	F246	85.9846	34.8259	1	1
35747	AL	GRANT	G653	86.259	34.4959	1	1
35748	AL	GURLEY	G640	86.394	34.714	1	1
35749	AL	HARVEST	H6123	86.7499	34.8273	1	1
35750	AL	HAZEL GREEN	H24265	86.5935	34.9496	1	1
35751	AL	HOLLYTREE	H436	86.2336	34.799	1	1
35752	AL	HOLLYWOOD	H430	85.9532	34.7304	1	1
35754	AL	LACEYS SPRING	L21652	86.6129	34.4996	1	1
35755	AL	LANGSTON	L5235	86.1056	34.4978	1	1
35758	AL	TRIANA	T650	86.751	34.7134	1	1
35759	AL	MERIDIANVILLE	M63514	86.5789	34.8618	1	1
35760	AL	NEW HOPE	N100	86.3961	34.5494	1	1
35761	AL	NEW MARKET	N623	86.4487	34.9	1	1
35763	AL	BIG COVE	B210	86.4666	34.6129	1	1
35764	AL	PAINT ROCK	P5362	86.3326	34.6671	1	1
35765	AL	PISGAH	P200	85.803	34.6886	1	1
35766	AL	PRINCETON	P65235	86.2501	34.8402	1	1
35768	AL	HYTOP	H310	86.0513	34.6723	1	1
35771	AL	SECTION	S350	85.994	34.5433	1	1
35772	AL	STEVENSON	S31525	85.8508	34.8769	1	1
35773	AL	TONEY	T500	86.7	34.9116	1	1
35774	AL	TRENTON	T6535	86.2913	34.7401	1	1
35775	AL	VALHERMOSO SPRIN	V4652165	86.678	34.5381	1	1
35776	AL	WOODVILLE	W314	86.2296	34.6689	1	1
35801	AL	HUNTSVILLE	H53214	86.5673	34.7269	1	1
35802	AL	HUNTSVILLE	H53214	86.5603	34.6679	1	1
35803	AL	HUNTSVILLE	H53214	86.551	34.6205	1	1
35805	AL	HUNTSVILLE	H53214	86.6165	34.7059	1	1
35806	AL	HUNTSVILLE	H53214	86.6704	34.7448	1	1
35808	AL	HUNTSVILLE	H53214	86.6538	34.6845	1	1
35810	AL	HUNTSVILLE	H53214	86.6091	34.7784	1	1
35811	AL	HUNTSVILLE	H53214	86.5438	34.7789	1	1
35816	AL	HUNTSVILLE	H53214	86.6249	34.7389	1	1
35824	AL	HUNTSVILLE	H53214	86.7295	34.6583	1	1
35901	AL	SOUTHSIDE	S323	86.0103	33.9972	1	1
35903	AL	HOKES BLUFF	H2141	85.9287	33.9971	1	1
35904	AL	GADSDEN	G3235	86.0495	34.0217	1	1
35905	AL	GLENCOE	G452	85.9276	33.9568	1	1
35950	AL	ALBERTVILLE	A416314	86.2064	34.2739	1	1
35952	AL	SNEAD	S530	86.3509	34.0429	1	1
35953	AL	ASHVILLE	A214	86.2552	33.8374	1	1
35954	AL	ATTALLA	A340	86.0967	34.0296	1	1
35957	AL	BOAZ	B200	86.148	34.1737	1	1
35958	AL	BRYANT	B653	85.6324	34.945	1	1
35959	AL	CEDAR BLUFF	C36141	85.6026	34.2417	1	1
35960	AL	CENTRE	C536	85.6092	34.1116	1	1
35961	AL	COLLINSVILLE	C45214	85.862	34.268	1	1
35962	AL	CROSSVILLE	C6214	86.0306	34.2588	1	1
35963	AL	DAWSON	D250	85.9292	34.3568	1	1
35966	AL	FLAT ROCK	F4362	85.7084	34.8076	1	1
35967	AL	FORT PAYNE	F6315	85.7124	34.4368	1	1
35971	AL	FYFFE	F000	85.9288	34.4373	1	1
35972	AL	GALLANT	G453	86.2346	33.9976	1	1
35973	AL	GAYLESVILLE	G4214	85.5589	34.3573	1	1
35974	AL	GERALDINE	G6435	86.0404	34.3439	1	1
35975	AL	GROVEOAK	G612	86.04	34.4359	1	1
35976	AL	GUNTERSVILLE	G536214	86.3055	34.3219	1	1
35978	AL	HENAGAR	H526	85.7274	34.6186	1	1
35979	AL	HIGDON	H235	85.6225	34.8732	1	1
35980	AL	HORTON	H635	86.3173	34.19	1	1
35981	AL	IDER	I360	85.6416	34.7351	1	1
35983	AL	LEESBURG	L2162	85.7705	34.1911	1	1
35984	AL	MENTONE	M350	85.5777	34.5872	1	1
35986	AL	RAINSVILLE	R5214	85.8446	34.4989	1	1
35987	AL	STEELE	S340	86.2289	33.9417	1	1
35988	AL	SYLVANIA	S415	85.7921	34.559	1	1
35989	AL	VALLEY HEAD	V430	85.6272	34.5697	1	1
36003	AL	AUTAUGAVILLE	A3214	86.7149	32.4625	1	1
36004	AL	EUFAULA	E140	85.2397	31.7867	1	1
36005	AL	BANKS	B520	85.7998	31.8368	1	1
36006	AL	BILLINGSLEY	B4524	86.7163	32.6106	1	1
36009	AL	BRANTLEY	B6534	86.2743	31.571	1	1
36010	AL	BRUNDIDGE	B6532	85.8177	31.7013	1	1
36013	AL	CECIL	C400	86.0112	32.3009	1	1
36016	AL	CLAYTON	C435	85.4509	31.8874	1	1
36017	AL	CLIO	C400	85.5904	31.6852	1	1
36022	AL	DEATSVILLE	D214	86.3382	32.6134	1	1
36024	AL	ECLECTIC	E24232	86.0316	32.6542	1	1
36025	AL	ELMORE	E456	86.3161	32.5454	1	1
36026	AL	EQUALITY	E243	86.1051	32.8139	1	1
36027	AL	EUFAULA	E140	85.1656	31.9051	1	1
36028	AL	DOZIER	D260	86.3663	31.5066	1	1
36029	AL	FITZPATRICK	F321362	85.8883	32.1516	1	1
36030	AL	FOREST HOME	F6235	86.7864	31.8532	1	1
36031	AL	FORT DAVIS	F6312	85.7007	32.2895	1	1
36032	AL	FORT DEPOSIT	F63123	86.5761	31.996	1	1
36033	AL	GEORGIANA	G625	86.734	31.6287	1	1
36034	AL	GLENWOOD	G453	86.171	31.6641	1	1
36035	AL	GOSHEN	G500	86.1049	31.825	1	1
36036	AL	GRADY	G630	86.1292	32.0194	1	1
36037	AL	GREENVILLE	G6514	86.6229	31.81	1	1
36038	AL	GANTT	G530	86.4198	31.4169	1	1
36039	AL	HARDAWAY	H630	85.8838	32.3129	1	1
36040	AL	HAYNEVILLE	H514	86.655	32.1957	1	1
36041	AL	HIGHLAND HOME	H24535	86.2971	31.9283	1	1
36042	AL	HONORAVILLE	H5614	86.3981	31.8784	1	1
36043	AL	HOPE HULL	H140	86.3932	32.2243	1	1
36046	AL	LAPINE	L150	86.2785	31.9854	1	1
36047	AL	LETOHATCHEE	L320	86.488	32.0862	1	1
36048	AL	LOUISVILLE	L214	85.5581	31.7943	1	1
36049	AL	LUVERNE	L165	86.2566	31.7074	1	1
36051	AL	MARBURY	M616	86.5101	32.6394	1	1
36052	AL	MATHEWS	M320	86.0413	32.1283	1	1
36053	AL	MIDWAY	M300	85.5315	32.0955	1	1
36054	AL	MILLBROOK	M4162	86.3641	32.4995	1	1
36061	AL	PEROTE	P630	85.7477	32.0035	1	1
36064	AL	PIKE ROAD	P263	86.0959	32.3357	1	1
36066	AL	PRATTVILLE	P6314	86.43	32.4787	1	1
36067	AL	PRATTVILLE	P6314	86.4831	32.4715	1	1
36069	AL	RAMER	R560	86.2463	32.0677	1	1
36071	AL	RUTLEDGE	R3432	86.3485	31.7559	1	1
36075	AL	SHORTER	S636	85.9162	32.3836	1	1
36078	AL	TALLASSEE	T420	85.8978	32.551	1	1
36080	AL	TITUS	T200	86.2393	32.69	1	1
36081	AL	TROY	T600	85.9655	31.7945	1	1
36083	AL	TUSKEGEE	T200	85.6861	32.4316	1	1
36088	AL	TUSKEGEE INSTITU	T2523	85.7149	32.4177	1	1
36089	AL	UNION SPRINGS	U521652	85.6787	32.1663	1	1
36091	AL	VERBENA	V615	86.5438	32.7596	1	1
36092	AL	WETUMPKA	W3512	86.188	32.5451	1	1
36104	AL	MONTGOMERY	M3256	86.3081	32.373	1	1
36105	AL	MONTGOMERY	M3256	86.3104	32.3257	1	1
36106	AL	MONTGOMERY	M3256	86.2673	32.3543	1	1
36107	AL	MONTGOMERY	M3256	86.2799	32.3804	1	1
36108	AL	MONTGOMERY	M3256	86.3529	32.3417	1	1
36109	AL	MONTGOMERY	M3256	86.2434	32.3834	1	1
36110	AL	MONTGOMERY	M3256	86.275	32.4217	1	1
36111	AL	MONTGOMERY	M3256	86.2715	32.3374	1	1
36113	AL	MAXWELL A F B	M241	86.3559	32.3881	1	1
36115	AL	GUNTER AFS	G53612	86.2473	32.4068	1	1
36116	AL	MONTGOMERY	M3256	86.2421	32.3129	1	1
36117	AL	MONTGOMERY	M3256	86.1833	32.3736	1	1
36201	AL	ANNISTON	A5235	85.8382	33.6539	1	1
36203	AL	OXFORD	O2163	85.8335	33.5968	1	1
36205	AL	FORT MC CLELLAN	F635245	85.8015	33.7102	1	1
36206	AL	ANNISTON	A5235	85.8389	33.7191	1	1
36250	AL	ALEXANDRIA	A42536	85.8924	33.7808	1	1
36251	AL	ASHLAND	A2453	85.829	33.2474	1	1
36255	AL	CRAGFORD	C62163	85.7108	33.2171	1	1
36256	AL	DAVISTON	D1235	85.7538	33.0335	1	1
36258	AL	DELTA	D430	85.6793	33.4573	1	1
36260	AL	EASTABOGA	E2312	85.9607	33.6031	1	1
36262	AL	FRUITHURST	F63623	85.4381	33.7717	1	1
36263	AL	GRAHAM	G650	85.334	33.463	1	1
36264	AL	HEFLIN	H145	85.5885	33.6115	1	1
36265	AL	JACKSONVILLE	J514	85.7752	33.831	1	1
36266	AL	LINEVILLE	L514	85.7346	33.3286	1	1
36267	AL	MILLERVILLE	M4614	85.969	33.159	1	1
36268	AL	MUNFORD	M163	85.9363	33.541	1	1
36269	AL	MUSCADINE	M235	85.3789	33.7529	1	1
36270	AL	NEWELL	N400	85.5059	33.4402	1	1
36271	AL	OHATCHEE	O320	86.0254	33.7788	1	1
36272	AL	PIEDMONT	P353	85.646	33.8389	1	1
36273	AL	RANBURNE	R5165	85.3786	33.5616	1	1
36274	AL	ROCK MILLS	R2542	85.3579	33.1564	1	1
36276	AL	WADLEY	W340	85.5513	33.1492	1	1
36277	AL	WEAVER	W160	85.8107	33.7563	1	1
36278	AL	WEDOWEE	W300	85.4737	33.3019	1	1
36279	AL	WELLINGTON	W45235	85.9153	33.8638	1	1
36280	AL	WOODLAND	W3453	85.3538	33.3555	1	1
36301	AL	TAYLOR	T460	85.418	31.2029	1	1
36303	AL	NAPIER FIELD	N16143	85.4125	31.2552	1	1
36310	AL	ABBEVILLE	A140	85.279	31.5755	1	1
36311	AL	ARITON	A635	85.7077	31.583	1	1
36312	AL	ASHFORD	A2163	85.2535	31.1888	1	1
36314	AL	BLACK	B420	85.7456	31.0132	1	1
36316	AL	CHANCELLOR	C5246	85.9109	31.1734	1	1
36317	AL	CLOPTON	C4135	85.4823	31.6028	1	1
36318	AL	COFFEE SPRINGS	C121652	85.9182	31.1388	1	1
36319	AL	COLUMBIA	C451	85.1455	31.3352	1	1
36320	AL	COTTONWOOD	C353	85.3757	31.0989	1	1
36322	AL	DALEVILLE	D414	85.7305	31.2811	1	1
36323	AL	ELBA	E410	86.0777	31.4137	1	1
36330	AL	ENTERPRISE	E536162	85.8421	31.3408	1	1
36340	AL	GENEVA	G510	85.8848	31.0414	1	1
36343	AL	GORDON	G635	85.1234	31.1002	1	1
36344	AL	HARTFORD	H63163	85.7192	31.086	1	1
36345	AL	HEADLAND	H3453	85.3323	31.3534	1	1
36346	AL	JACK	J000	86.0431	31.5524	1	1
36349	AL	MALVERN	M4165	85.5223	31.1575	1	1
36350	AL	MIDLAND CITY	M345323	85.513	31.3672	1	1
36351	AL	NEW BROCKTON	N16235	85.9404	31.369	1	1
36352	AL	NEWTON	N350	85.5992	31.3311	1	1
36353	AL	NEWVILLE	N140	85.3287	31.4403	1	1
36360	AL	OZARK	O262	85.6436	31.4391	1	1
36362	AL	FORT RUCKER	F63626	85.7214	31.348	1	1
36370	AL	PANSEY	P520	85.2385	31.1318	1	1
36373	AL	SHORTERVILLE	S63614	85.1458	31.6256	1	1
36374	AL	SKIPPERVILLE	S1614	85.5496	31.5516	1	1
36375	AL	SLOCOMB	S4251	85.583	31.0956	1	1
36376	AL	WEBB	W100	85.2544	31.2656	1	1
36401	AL	EVERGREEN	E16265	86.9258	31.458	1	1
36419	AL	ALLEN	A450	87.6675	31.6243	1	1
36420	AL	ANDALUSIA	A5342	86.4905	31.2971	1	1
36425	AL	BEATRICE	B362	87.1719	31.7273	1	1
36426	AL	EAST BREWTON	E231635	87.0673	31.1189	1	1
36432	AL	CASTLEBERRY	C3416	87.0268	31.3261	1	1
36435	AL	COY	C000	87.3926	31.8889	1	1
36436	AL	DICKINSON	D2525	87.6569	31.7172	1	1
36441	AL	FLOMATON	F4535	87.2664	31.0402	1	1
36442	AL	FLORALA	F464	86.3385	31.0172	1	1
36444	AL	FRANKLIN	F65245	87.4412	31.7238	1	1
36445	AL	FRISCO CITY	F623	87.3817	31.4235	1	1
36446	AL	FULTON	F435	87.7081	31.7909	1	1
36451	AL	GROVE HILL	G614	87.7636	31.6755	1	1
36453	AL	KINSTON	K5235	86.0695	31.2621	1	1
36454	AL	LENOX	L520	87.1967	31.3273	1	1
36456	AL	MC KENZIE	M252	86.7356	31.545	1	1
36460	AL	MONROEVILLE	M614	87.341	31.5153	1	1
36467	AL	OPP	O100	86.2571	31.2799	1	1
36471	AL	PETERMAN	P365	87.26	31.59	1	1
36473	AL	RANGE	R520	87.3197	31.3017	1	1
36474	AL	RED LEVEL	R3414	86.6121	31.4399	1	1
36475	AL	REPTON	R135	87.172	31.4256	1	1
36477	AL	SAMSON	S525	86.0674	31.1049	1	1
36480	AL	URIAH	U600	87.5705	31.3135	1	1
36481	AL	VREDENBURGH	V635162	87.4162	31.7344	1	1
36482	AL	WHATLEY	W340	87.6565	31.6395	1	1
36483	AL	WING	W520	86.5612	31.1481	1	1
36502	AL	ATMORE	A356	87.4874	31.0572	1	1
36505	AL	AXIS	A200	88.0427	31.0068	1	1
36507	AL	BAY MINETTE	B530	87.7644	30.8635	1	1
36509	AL	BAYOU LA BATRE	B4136	88.2507	30.408	1	1
36510	AL	BIGBEE	B210	88.1653	31.5891	1	1
36511	AL	BON SECOUR	B526	87.7214	30.3289	1	1
36515	AL	CARLTON	C6435	87.8378	31.3224	1	1
36518	AL	CHATOM	C350	88.2699	31.4876	1	1
36521	AL	CHUNCHULA	C524	88.1311	30.9912	1	1
36522	AL	CITRONELLE	C3654	88.255	31.0425	1	1
36523	AL	CODEN	C350	88.1683	30.4188	1	1
36524	AL	COFFEEVILLE	C140	88.0715	31.7843	1	1
36525	AL	CREOLA	C640	88.0174	30.9013	1	1
36526	AL	DAPHNE	D150	87.8895	30.6197	1	1
36527	AL	SPANISH FORT	S152163	87.8867	30.6959	1	1
36528	AL	DAUPHIN ISLAND	D152453	88.1096	30.2521	1	1
36529	AL	DEER PARK	D6162	88.3273	31.1849	1	1
36530	AL	ELBERTA	E4163	87.589	30.3942	1	1
36532	AL	FAIRHOPE	F610	87.8835	30.5012	1	1
36535	AL	FOLEY	F400	87.6857	30.4007	1	1
36538	AL	FRANKVILLE	F65214	88.1332	31.6468	1	1
36539	AL	FRUITDALE	F634	88.3766	31.3488	1	1
36540	AL	GAINESTOWN	G5235	87.6822	31.4258	1	1
36541	AL	GRAND BAY	G6531	88.3282	30.4983	1	1
36542	AL	FORT MORGAN	F635625	87.7128	30.269	1	1
